target,source,neighbor1,neighbor2,neighbor3
4961,4973,4854,4944.0,5061.0
4972,4895,5055,4899.0,
4972,4899,4895,5055.0,
4972,5055,4899,4895.0,
4973,4961,9164,4904.0,5005.0
4973,9164,5005,4961.0,4904.0
4973,4904,9164,4961.0,5005.0
4973,5005,4961,4904.0,9164.0
5005,4917,5017,4973.0,
5005,5017,4973,4917.0,
5005,4973,5017,4917.0,
5010,4907,4927,9163.0,
5010,9163,4907,4927.0,
5010,4927,4907,9163.0,
5012,4938,8352,5021.0,9161.0
5012,5021,9161,4938.0,8352.0
5012,8352,5021,9161.0,4938.0
5012,9161,5021,8352.0,4938.0
5017,4918,5005,5026.0,
5017,5005,4918,5026.0,
5017,5026,4918,5005.0,
5021,5082,9163,4950.0,5012.0
5021,9163,5082,5012.0,4950.0
5021,4950,9163,5012.0,5082.0
5021,5012,5082,4950.0,9163.0
5026,4942,5017,,
5026,5017,4942,,
5055,4972,8346,4920.0,8348.0
5055,8348,4920,8346.0,4972.0
5055,4920,4972,8346.0,8348.0
5055,8346,8348,4972.0,4920.0
5061,4961,5132,,
5061,5132,4961,,
5082,5123,8352,9162.0,5021.0
5082,8352,5123,5021.0,9162.0
5082,9162,8352,5021.0,5123.0
5082,5021,9162,8352.0,5123.0
5100,5122,5120,9156.0,
5100,9156,5120,5122.0,
5100,5120,5122,9156.0,
5105,4895,8348,,
5105,8348,4895,,
5120,5100,9158,,
5120,9158,5100,,
5122,8352,5100,5123.0,9174.0
5122,5100,5123,9174.0,8352.0
5122,5123,8352,5100.0,9174.0
5122,9174,5123,8352.0,5100.0
5123,5122,5126,5082.0,9175.0
5123,9175,5126,5122.0,5082.0
5123,5082,5126,5122.0,9175.0
5123,5126,5082,9175.0,5122.0
5126,5123,5132,9162.0,9176.0
5126,5132,5123,9162.0,9176.0
5126,9176,5123,5132.0,9162.0
5126,9162,9176,5123.0,5132.0
5132,5061,5126,,
5132,5126,5061,,
5190,9155,9174,8359.0,5193.0
5190,9174,5193,9155.0,8359.0
5190,5193,9174,9155.0,8359.0
5190,8359,9174,9155.0,5193.0
5193,5190,8359,,
5193,8359,5190,,
8345,9157,9155,,
8345,9155,9157,,
8346,5055,9159,8348.0,
8346,8348,5055,9159.0,
8346,9159,8348,5055.0,
8348,5105,8346,5055.0,
8348,5055,5105,8346.0,
8348,8346,5105,5055.0,
8352,5012,5122,5082.0,
8352,5082,5122,5012.0,
8352,5122,5012,5082.0,
8359,5190,5193,9176.0,
8359,5193,5190,9176.0,
8359,9176,5190,5193.0,
8363,8364,4758,8365.0,
8363,4758,8364,8365.0,
8363,8365,4758,8364.0,
8364,4779,8363,4615.0,
8364,4615,8363,4779.0,
8364,8363,4779,4615.0,
8365,8363,4832,4917.0,
8365,4832,4917,8363.0,
8365,4917,8363,4832.0,
9001,4526,4579,4563.0,
9001,4563,4579,4526.0,
9001,4579,4563,4526.0,
9155,8345,9156,5190.0,
9155,5190,9156,8345.0,
9155,9156,8345,5190.0,
9156,9155,9158,5100.0,
9156,5100,9158,9155.0,
9156,9158,5100,9155.0,
9157,9159,9158,8345.0,
9157,8345,9159,9158.0,
9157,9158,8345,9159.0,
9158,9156,5120,9157.0,9160.0
9158,9157,9160,9156.0,5120.0
9158,9160,9157,9156.0,5120.0
9158,5120,9160,9156.0,9157.0
9159,8346,9157,9160.0,
9159,9160,8346,9157.0,
9159,9157,8346,9160.0,
9160,9161,9158,9159.0,
9160,9158,9161,9159.0,
9160,9159,9161,9158.0,
9161,5012,4920,9160.0,
9161,4920,9160,5012.0,
9161,9160,5012,4920.0,
9162,5126,5082,9163.0,
9162,5082,9163,5126.0,
9162,9163,5082,5126.0,
9163,9162,5021,5010.0,9177.0
9163,9177,9162,5021.0,5010.0
9163,5010,5021,9177.0,9162.0
9163,5021,5010,9162.0,9177.0
9164,9177,4973,,
9164,4973,9177,,
9173,4794,4708,4920.0,
9173,4708,4920,4794.0,
9173,4920,4794,4708.0,
9174,5122,5190,9175.0,
9174,9175,5190,5122.0,
9174,5190,5122,9175.0,
9175,9176,5123,9174.0,
9175,5123,9176,9174.0,
9175,9174,5123,9176.0,
9176,8359,5126,9175.0,
9176,5126,9175,8359.0,
9176,9175,8359,5126.0,
9177,9163,9164,,
9177,9164,9163,,
