cid,nlane,turn,dnroad,geom,len,Up_Node,Down_Node,is_in,Count,Count1
4605_4671,4,R#S#U#L,4671_4660#4671_4819#4671_4605#4671_4680,"LINESTRING (118.736906635 30.936118166, 118.736960515 30.9368502880001, 118.737093112 30.938902462, 118.737162287 30.939971762, 118.737258452 30.941384553, 118.737292012 30.9418301260001)",634.349242,4605,4671,1.0,4176.0,4175.0
4607_4556,3,S#L#R#U,4556_4518#4556_4608#4556_4534#4556_4607,"LINESTRING (118.715724096 30.9366187300001, 118.716274367 30.9361748360001, 118.718611327 30.9345183510001, 118.720366092 30.9333274580001)",574.6165726,4607,4556,1.0,4161.0,4141.0
4608_4565,0,S#L#R#U,4565_4539#4565_4603#4565_4518#4565_4608,"LINESTRING (118.723423745 30.93659868, 118.725614682 30.935588647, 118.726852813 30.9350209570001, 118.728212366 30.9343747550001)",519.8454196,4608,4565,1.0,4174.0,4162.0
4608_4624,3,R#U#S#L,4624_4603#4624_4608#4624_4650#4624_4655,"LINESTRING (118.723423745 30.93659868, 118.724601414 30.9380445960001)",195.8691276,4608,4624,1.0,4164.0,4162.0
4615_4563,4,S#R#L#U,4563_4554#4563_4642#4563_9001#4563_4615,"LINESTRING (118.781728318 30.936102728, 118.781373185 30.935896653, 118.780285375 30.9353186280001, 118.779558102 30.9349846640001, 118.778843862 30.9347461130001, 118.777432878 30.934417798, 118.774048667 30.933742151, 118.773508757 30.933634639)",839.6152204,4615,4563,1.0,4127.0,4174.0
4615_4579,2,U#S#R,4579_4615#4579_8357#4579_9001,"LINESTRING (118.781728318 30.936102728, 118.784687132 30.933682296)",389.8344123,4615,4579,1.0,4174.0,4174.0
4616_4630,4,S#R#L#U,4630_4650#4630_4680#4630_4603#4630_4616,"LINESTRING (118.734355454 30.937019531, 118.73434727 30.9370225480001, 118.731572724 30.9380454130001, 118.730885966 30.9383085260001)",361.0584942,4616,4630,1.0,4175.0,4174.0
4624_4603,1,L#R#U,4603_4630#4603_4565#4603_4624,"LINESTRING (118.724601414 30.9380445960001, 118.726439073 30.9373419200001, 118.728624664 30.936511029, 118.729375318 30.936172577)",501.3638275,4624,4603,1.0,4171.0,4164.0
4630_4650,3,L#S#U#R,4650_4624#4650_4690#4650_4630#4650_4708,"LINESTRING (118.730885966 30.9383085260001, 118.729287992 30.938920733, 118.726802218 30.9399273560001, 118.726312862 30.940129712)",481.4449163,4630,4650,1.0,4163.0,4175.0
4630_4680,2,R#S#U#L,4680_4671#4680_4855#4680_4630#4680_4708,"LINESTRING (118.730885966 30.9383085260001, 118.731218004 30.938899905, 118.733071939 30.9426763230001)",527.4675649,4630,4680,1.0,4175.0,4175.0
4634_4554,3,S#R#L#U,4554_4526#4554_4536#4554_4563#4554_4634,"LINESTRING (118.766881403 30.938042103, 118.766775602 30.9374623150001, 118.766752473 30.937180143, 118.766766576 30.936691237, 118.766789819 30.9363751120001, 118.766883025 30.935960342, 118.766990232 30.9356154130001, 118.76764029 30.934116008, 118.768301862 30.9326119150001)",628.0083797,4634,4554,1.0,4176.0,4176.0
4634_4664,3,R#U#L,4664_4724#4664_4634#4664_4635,"LINESTRING (118.766881403 30.938042103, 118.766465298 30.9380248740001, 118.765743975 30.9380684440001, 118.765183944 30.9381666950001, 118.764644643 30.938369552, 118.764180788 30.9386606940001, 118.763174036 30.939557182, 118.761974005 30.9407915630001)",591.4797985,4634,4664,1.0,4176.0,4176.0
4635_4536,0,S#R#L#U,4536_4497#4536_4562#4536_4554#4536_4635,"LINESTRING (118.755828212 30.9383664700001, 118.755875337 30.937641999, 118.755987001 30.9366560170001, 118.756113548 30.935506715, 118.756132194 30.935337372, 118.756172455 30.93494328, 118.756176394 30.934904729, 118.756255881 30.934126651, 118.756275534 30.933964519, 118.756350256 30.933348059, 118.756456603 30.932966594, 118.756547958 30.9327564770001, 118.756735631 30.932416721, 118.756821166 30.9322618750001, 118.757060986 30.9318683820001, 118.757300215 30.931603098)",774.3176803,4635,4536,1.0,4066.0,4132.0
4635_4664,3,S#R#U,4664_4724#4664_4634#4664_4635,"LINESTRING (118.755828212 30.9383664700001, 118.756193956 30.9382398610001, 118.756560053 30.938116689, 118.756677549 30.9381002850001, 118.756765303 30.9380941260001, 118.756834969 30.9380892360001, 118.757056645 30.9380996990001, 118.757062683 30.938100664, 118.757354648 30.93814732, 118.757731791 30.9382899710001, 118.758330215 30.938622219, 118.758961542 30.938949022, 118.759638342 30.9392790650001, 118.760970938 30.939938152, 118.761360965 30.940185554, 118.761597482 30.940358325, 118.761872767 30.940653968, 118.761974005 30.9407915630001)",686.7660218,4635,4664,1.0,4176.0,4132.0
4642_4634,0,L#S#U#R,4634_4554#4634_4664#4634_4642#4634_4732,"LINESTRING (118.772031929 30.938383926, 118.770882547 30.938278639, 118.76759085 30.9381053760001, 118.766881403 30.938042103)",493.7805106,4642,4634,1.0,4176.0,4175.0
4645_4607,3,S#L#R#U,4607_4556#4607_4639#4607_4530#4607_4645,"LINESTRING (118.712270196 30.9398837000001, 118.713383844 30.9387117250001, 118.713518014 30.938570525, 118.714290215 30.937829585, 118.715022599 30.9371846080001, 118.715724096 30.9366187300001)",490.4963197,4645,4607,1.0,4141.0,4175.0
4645_4666,0,R#S#U,4666_4649#4666_4713#4666_4645,"LINESTRING (118.712270196 30.9398837000001, 118.712585024 30.940094038, 118.712946999 30.940368398, 118.71340507 30.940753623, 118.714100207 30.9413933870001, 118.71440568 30.941672313)",284.9927511,4645,4666,1.0,4175.0,4175.0
4650_4624,3,L#S#U#R,4624_4603#4624_4608#4624_4650#4624_4655,"LINESTRING (118.726312862 30.940129712, 118.726312438 30.940129164, 118.725972673 30.939676046, 118.72542058 30.938982136, 118.724601414 30.9380445960001)",283.3008417,4650,4624,1.0,4164.0,4163.0
4650_4690,0,S#U#L,4690_4742#4690_4650#4690_4655,"LINESTRING (118.726312862 30.940129712, 118.725747324 30.9403424230001, 118.725116767 30.9406469940001, 118.724163767 30.9412029420001, 118.72393195 30.941386584, 118.723214461 30.9420428010001, 118.722518289 30.9430974840001)",502.6005955,4650,4690,1.0,4165.0,4163.0
4651_4562,4,S#R#L#U,4562_4493#4562_4589#4562_4536#4562_4651,"LINESTRING (118.751313828 30.939949406, 118.751262724 30.939554349, 118.751242302 30.939452166, 118.751159978 30.9390402660001, 118.751079279 30.93870078, 118.751055692 30.9386391400001, 118.750922661 30.938291485, 118.750630113 30.93786729, 118.750465845 30.937671628, 118.749932989 30.9371546940001, 118.749904624 30.9371265980001, 118.749409594 30.9366362920001, 118.748934712 30.936237702, 118.748651848 30.9360222450001, 118.748469716 30.935885537, 118.747441146 30.9352757180001, 118.747319479 30.9352059920001, 118.746662127 30.934829273, 118.74631229 30.9346016010001, 118.746029069 30.9343779540001, 118.745481259 30.933929689, 118.744551331 30.9331701630001)",1026.880495,4651,4562,1.0,4176.0,4175.0
4651_4635,2,R#S#U,4635_4536#4635_4664#4635_4651,"LINESTRING (118.751313828 30.939949406, 118.75178134 30.9397830190001, 118.752630441 30.9394808170001, 118.754436999 30.938848052, 118.755828212 30.9383664700001)",465.7495314,4651,4635,1.0,4132.0,4175.0
4655_4624,2,S#R#L#U,4624_4603#4624_4608#4624_4650#4624_4655,"LINESTRING (118.719954234 30.940641536, 118.72044434 30.940163317, 118.7210178 30.9397262100001, 118.722028254 30.9391150700001, 118.722695013 30.9387876590001, 118.724601414 30.9380445960001)",535.1432439,4655,4624,1.0,4164.0,4139.0
4655_4690,0,L#R#U,4690_4742#4690_4650#4690_4655,"LINESTRING (118.719954234 30.940641537, 118.720036335 30.940719587, 118.721979908 30.9425882400001, 118.722518289 30.9430974840001)",366.3055986,4655,4690,1.0,4165.0,4139.0
4660_4589,0,R#L#U,4589_4605#4589_4562#4589_4660,"LINESTRING (118.743669333 30.9405009490001, 118.74330411 30.940102272, 118.741774039 30.9388475000001, 118.741443508 30.9384626660001, 118.740965429 30.9377554930001, 118.739577563 30.9351472700001)",720.1109517,4660,4589,1.0,4175.0,4175.0
4662_4651,4,R#S#U#L,4651_4562#4651_4635#4651_4662#4651_4697,"LINESTRING (118.749514443 30.9407233000001, 118.749523144 30.9407193650001, 118.750791533 30.94014572, 118.750899774 30.9400967650001, 118.751313828 30.939949406)",192.3128748,4662,4651,1.0,4175.0,4174.0
4663_4615,3,R#S#U#L,4615_4563#4615_4579#4615_4663#4615_8364,"LINESTRING (118.776948418 30.9404856200001, 118.777755796 30.939493887, 118.778394122 30.9387756140001, 118.779579276 30.9377630710001, 118.781728318 30.936102728)",669.9025226,4663,4615,1.0,4174.0,4175.0
4663_4642,2,S#L#U,4642_4634#4642_4563#4642_4663,"LINESTRING (118.776948418 30.9404856200001, 118.774447482 30.939226245, 118.773476824 30.938749327, 118.772831286 30.9385311390001, 118.772031929 30.938383926)",527.9478964,4663,4642,1.0,4175.0,4175.0
4664_4724,4,L#U#R#S,4724_4706#4724_4664#4724_4732#4724_4863,"LINESTRING (118.761974005 30.9407915630001, 118.762037961 30.9408784870001, 118.762120749 30.9410114020001, 118.762211773 30.941234928, 118.762280648 30.9414941950001, 118.762311488 30.9417073170001, 118.762594379 30.943569451)",315.9159865,4664,4724,1.0,4133.0,4176.0
4666_4713,4,R#S#U#L,4713_4674#4713_4794#4713_4666#4713_8350,"LINESTRING (118.71440568 30.941672313, 118.715042897 30.942254142, 118.716022093 30.943143036, 118.716935851 30.943971881)",351.3688713,4666,4713,1.0,4174.0,4175.0
4671_4660,3,R#U#L,4660_4589#4660_4671#4660_4689,"LINESTRING (118.737292012 30.9418301260001, 118.738741228 30.9415102990001, 118.740594846 30.941151721, 118.743669333 30.9405009490001)",627.0378452,4671,4660,1.0,4175.0,4176.0
4671_4819,0,R#S#U#L,4819_4689#4819_4879#4819_4671#4819_4855,"LINESTRING (118.737292012 30.9418301260001, 118.737350896 30.9426119080001, 118.737720491 30.9468659400001)",559.8161921,4671,4819,1.0,4176.0,4176.0
