target,source,neighbor1,neighbor2,neighbor3,target_lon,target_lat,source_lon,source_lat
5055,4920,4972,8346.0,8348.0,118.717041945,30.9573654800001,118.731673147,30.9512692370001
5055,8346,8348,4972.0,4920.0,118.717041945,30.9573654800001,118.719674,30.9634390000001
5061,4961,5132,,,118.752551932,30.957420164,118.75800921,30.9524772400001
5061,5132,4961,,,118.752551932,30.957420164,118.751020904,30.9638525720001
5082,5123,8352,9162.0,5021.0,118.743470395,30.959165506,118.743487199,30.9633389470001
5082,8352,5123,5021.0,9162.0,118.743470395,30.959165506,118.739394924,30.9599127320001
5082,9162,8352,5021.0,5123.0,118.743470395,30.959165506,118.748142484,30.958507082
5082,5021,9162,8352.0,5123.0,118.743470395,30.959165506,118.743572755,30.955109684
5100,5122,5120,9156.0,,118.735476954,30.962805819,118.739857954,30.963158288
5100,9156,5120,5122.0,,118.735476954,30.962805819,118.734470647,30.9667945850001
5100,5120,5122,9156.0,,118.735476954,30.962805819,118.73109559,30.961852102
5105,4895,8348,,,118.703461746,30.9616635450001,118.706734957,30.9503183310001
5105,8348,4895,,,118.703461746,30.9616635450001,118.710282471,30.9609497070001
5120,5100,9158,,,118.73109559,30.961852102,118.735476954,30.962805819
5120,9158,5100,,,118.73109559,30.961852102,118.729402077,30.9648330270001
5122,8352,5100,5123.0,9174.0,118.739857954,30.963158288,118.739394924,30.9599127320001
5122,5100,5123,9174.0,8352.0,118.739857954,30.963158288,118.735476954,30.962805819
5122,5123,8352,5100.0,9174.0,118.739857954,30.963158288,118.743487199,30.9633389470001
5122,9174,5123,8352.0,5100.0,118.739857954,30.963158288,118.740330187,30.967412085
5123,5122,5126,5082.0,9175.0,118.743487199,30.9633389470001,118.739857954,30.963158288
5123,9175,5126,5122.0,5082.0,118.743487199,30.9633389470001,118.742998339,30.967663805
5123,5082,5126,5122.0,9175.0,118.743487199,30.9633389470001,118.743470395,30.959165506
5123,5126,5082,9175.0,5122.0,118.743487199,30.9633389470001,118.748333193,30.9637270060001
5126,5123,5132,9162.0,9176.0,118.748333193,30.9637270060001,118.743487199,30.9633389470001
5126,5132,5123,9162.0,9176.0,118.748333193,30.9637270060001,118.751020904,30.9638525720001
5126,9176,5123,5132.0,9162.0,118.748333193,30.9637270060001,118.745135095,30.9685013760001
5126,9162,9176,5123.0,5132.0,118.748333193,30.9637270060001,118.748142484,30.958507082
5132,5061,5126,,,118.751020904,30.9638525720001,118.752551932,30.957420164
5132,5126,5061,,,118.751020904,30.9638525720001,118.748333193,30.9637270060001
5190,9155,9174,8359.0,5193.0,118.740815597,30.9717950520001,118.733361229,30.9709843030001
5190,9174,5193,9155.0,8359.0,118.740815597,30.9717950520001,118.740330187,30.967412085
5190,5193,9174,9155.0,8359.0,118.740815597,30.9717950520001,118.740915508,30.9726495520001
5190,8359,9174,9155.0,5193.0,118.740815597,30.9717950520001,118.742769182,30.971857555
